rank,author,title,identifier_override
1,Homer,,
2,Homer,,
3,Virgil,"The Aeneid, prose translation",the_aeneid_prose_1405_librivox
4,Herodotus,Libro IV de la Historia de Heródoto,historiaherodoto4_1508_librivox
5,Sophocles,Las Siete Tragedias de Sófocles,tragediassofocles_1606_librivox
6,Augustine of Hippo,Confessions,confessions_augustine_0911_librivox
7,Plato,Alcibiades I,alcibiades1_1212_librivox
8,Sophocles,Las Siete Tragedias de Sófocles,tragediassofocles_1606_librivox
9,Thucydides,The History of the Peloponnesian War,history_peloponnesian_war_librivox
10,Aeschylus,The Oresteia,oresteia_1002_librivox
11,Sophocles,Las Siete Tragedias de Sófocles,tragediassofocles_1606_librivox
12,Lucretius,On the Nature of Things (Watson translation),on_the_nature_of_things_1001_librivox
13,Plutarch,"The Morals (Moralia), Book 2",morals2_26_1506_librivox
14,Euripides,Iphigenia in Aulis,iphigenia_in_aulis_1308_librivox
15,The Bible,,
16,Marcus Aurelius,Meditations,meditations_0708_librivox
17,Aristotle,Politics,politics_0802_librivox
18,Plato,Alcibiades I,alcibiades1_1212_librivox
19,Aristotle,Politics,politics_0802_librivox
20,Euripides,Iphigenia in Aulis,iphigenia_in_aulis_1308_librivox
21,Ovid,Metamorphoses,metamorphoses_1006_librivox
22,Plato,Alcibiades I,alcibiades1_1212_librivox
23,Thomas Aquinas,"Summa Theologica, Prima Pars, Initial Questions",summa_1_01_jr_0901_librivox
24,Aristophanes,The Clouds,clouds_1506_librivox
25,Aristophanes,The Clouds,clouds_1506_librivox
26,Plato,Alcibiades I,alcibiades1_1212_librivox
27,Aeschylus,The Oresteia,oresteia_1002_librivox
28,Aristophanes,The Clouds,clouds_1506_librivox
29,Euripides,Iphigenia in Aulis,iphigenia_in_aulis_1308_librivox
30,Aristophanes,The Clouds,clouds_1506_librivox
31,Aristotle,Politics,politics_0802_librivox
32,Plato,Alcibiades I,alcibiades1_1212_librivox
33,Tacitus,Las Germanias,las_germanias_2203_librivox
